target,target_label,model,features,eval_method,pearson_r,spearman_rho,rmse,mae
b_2pl,IRT Difficulty (b),Direct_LLM,direct_prediction,holdout,0.13763399474952048,0.08872180451127819,0.5198680279647904,0.43417500000000003
b_2pl,IRT Difficulty (b),Direct_LLM,direct_prediction,all_LOO,-0.036744962360154565,-0.05160670888701998,0.9585212144757154,0.655872
b_2pl,IRT Difficulty (b),Ridge,A_ratings_mean,holdout,0.13723209836499248,0.18796992481203004,0.48447771090335356,0.41244816349545166
b_2pl,IRT Difficulty (b),Ridge,A_ratings_mean,all_LOO,-0.08054689414311128,-0.11790014371533326,0.9387572620074481,0.6479035980874829
b_2pl,IRT Difficulty (b),Lasso,A_ratings_mean,holdout,0.11669509160300708,0.10827067669172932,0.4668988211384592,0.3769592048529088
b_2pl,IRT Difficulty (b),Lasso,A_ratings_mean,all_LOO,-0.484474915857743,-0.5148470292463293,0.8897225841633066,0.5804546537707691
b_2pl,IRT Difficulty (b),ElasticNet,A_ratings_mean,holdout,0.20483136383163403,0.2300751879699248,0.47126672023512467,0.381051163656736
b_2pl,IRT Difficulty (b),ElasticNet,A_ratings_mean,all_LOO,-0.15734065990810756,-0.12445881925894378,0.8921412603530343,0.5816621594855866
b_2pl,IRT Difficulty (b),RF,A_ratings_mean,holdout,0.1812164845683229,0.0015037593984962405,0.532499434661944,0.47826069650340086
b_2pl,IRT Difficulty (b),RF,A_ratings_mean,all_LOO,-0.021164828033069696,0.013765417838099274,0.9762880648777358,0.6615922329054479
b_2pl,IRT Difficulty (b),Ridge,B_ratings_mean_std,holdout,-0.0025602035407298607,0.12330827067669171,0.6226037461675881,0.515101944858255
b_2pl,IRT Difficulty (b),Ridge,B_ratings_mean_std,all_LOO,-0.14518292566950516,-0.18258680644188524,1.0379892757066405,0.730514214000379
b_2pl,IRT Difficulty (b),Lasso,B_ratings_mean_std,holdout,0.02484633797375988,0.05714285714285714,0.47155480090180374,0.3812569380067051
b_2pl,IRT Difficulty (b),Lasso,B_ratings_mean_std,all_LOO,-0.4930071635740278,-0.5301126016003506,0.8903098994001571,0.5809782680102688
b_2pl,IRT Difficulty (b),ElasticNet,B_ratings_mean_std,holdout,-0.013455658344146453,0.10827067669172932,0.5140616492985514,0.4193937875601238
b_2pl,IRT Difficulty (b),ElasticNet,B_ratings_mean_std,all_LOO,-0.2501437948434856,-0.23977269658882772,0.9108306060758922,0.60035286679075
b_2pl,IRT Difficulty (b),RF,B_ratings_mean_std,holdout,0.14770869242491025,0.021052631578947364,0.5518228162960856,0.48272652812661915
b_2pl,IRT Difficulty (b),RF,B_ratings_mean_std,all_LOO,-0.05448942778706066,0.008238848601443026,0.9967804133077616,0.6732769498466565
b_2pl,IRT Difficulty (b),Ridge,C_ratings_plus_direct,holdout,0.12642575561902328,0.16992481203007515,0.49396923109455426,0.41131853210983815
b_2pl,IRT Difficulty (b),Ridge,C_ratings_plus_direct,all_LOO,-0.0744340354151893,-0.1266190417618713,0.9560933373019798,0.673651884864029
b_2pl,IRT Difficulty (b),Lasso,C_ratings_plus_direct,holdout,0.11669509160300708,0.10827067669172932,0.4668988211384592,0.3769592048529088
b_2pl,IRT Difficulty (b),Lasso,C_ratings_plus_direct,all_LOO,-0.484474915857743,-0.5148470292463293,0.8897225841633066,0.5804546537707691
b_2pl,IRT Difficulty (b),ElasticNet,C_ratings_plus_direct,holdout,0.2048313654969156,0.2300751879699248,0.47126671973382395,0.3810511641916754
b_2pl,IRT Difficulty (b),ElasticNet,C_ratings_plus_direct,all_LOO,-0.16047879896794187,-0.12981137057175307,0.8924841237964365,0.5819808530657267
b_2pl,IRT Difficulty (b),RF,C_ratings_plus_direct,holdout,0.2420228448854136,0.05263157894736842,0.5354542930784622,0.4856560410718915
b_2pl,IRT Difficulty (b),RF,C_ratings_plus_direct,all_LOO,-0.045813351213538904,-0.08066630863015194,0.9758466945794081,0.6761531527599641
b_2pl,IRT Difficulty (b),Ridge,D_all_28,holdout,0.07483664474812232,0.21654135338345865,0.6144783330265449,0.4580181652850718
b_2pl,IRT Difficulty (b),Ridge,D_all_28,all_LOO,-0.1275995838487577,-0.15549401588433587,1.065787790203815,0.749629964405777
b_2pl,IRT Difficulty (b),Lasso,D_all_28,holdout,0.02484633797375988,0.05714285714285714,0.47155480090180374,0.3812569380067051
b_2pl,IRT Difficulty (b),Lasso,D_all_28,all_LOO,-0.4930071635740278,-0.5301126016003506,0.8903098994001571,0.5809782680102688
b_2pl,IRT Difficulty (b),ElasticNet,D_all_28,holdout,-0.013493007894120817,0.10827067669172932,0.5140781920720772,0.4193803282480239
b_2pl,IRT Difficulty (b),ElasticNet,D_all_28,all_LOO,-0.2545777132427882,-0.24109283256283898,0.912799870786577,0.6017437168197444
b_2pl,IRT Difficulty (b),RF,D_all_28,holdout,0.2385243628374416,0.048120300751879695,0.510188473056571,0.48276448266945493
b_2pl,IRT Difficulty (b),RF,D_all_28,all_LOO,-0.07199398655065853,-0.07852408798141547,0.9815747915747064,0.6711457056613017
a_2pl,IRT Discrimination (a),Direct_LLM,direct_prediction,holdout,-0.33957166848052034,-0.4830223070418413,0.4066243278506587,0.32223000000000007
a_2pl,IRT Discrimination (a),Direct_LLM,direct_prediction,all_LOO,-0.030448820329117592,-0.20692604970979406,0.9608271464732873,0.417174
a_2pl,IRT Discrimination (a),Ridge,A_ratings_mean,holdout,0.023602787520144677,-0.048120300751879695,0.4964219217945419,0.3727939888082248
a_2pl,IRT Discrimination (a),Ridge,A_ratings_mean,all_LOO,-0.08613255427407418,-0.15138313831383138,1.0483110287205253,0.5277431364488476
a_2pl,IRT Discrimination (a),Lasso,A_ratings_mean,holdout,-0.22603621755541448,-0.1333335697732807,0.408335530794491,0.33426664984637217
a_2pl,IRT Discrimination (a),Lasso,A_ratings_mean,all_LOO,-0.18579160844988288,-0.23377137713771373,0.9698561645036512,0.42945859009860327
a_2pl,IRT Discrimination (a),ElasticNet,A_ratings_mean,holdout,-0.05834765345019427,-0.1518796992481203,0.40539158702494715,0.32436182298633165
a_2pl,IRT Discrimination (a),ElasticNet,A_ratings_mean,all_LOO,-0.13844556551395376,-0.26637863786378635,0.9863647971269225,0.4597776956949975
a_2pl,IRT Discrimination (a),RF,A_ratings_mean,holdout,0.19740324262853148,0.4060150375939849,0.3847427282125861,0.2835150085744235
a_2pl,IRT Discrimination (a),RF,A_ratings_mean,all_LOO,-0.057723314326984757,-0.11204320432043202,0.9729308568295821,0.4238382697695345
a_2pl,IRT Discrimination (a),Ridge,B_ratings_mean_std,holdout,0.10991224198232206,0.2992481203007519,0.5020777298503708,0.38741873636395197
a_2pl,IRT Discrimination (a),Ridge,B_ratings_mean_std,all_LOO,-0.06353420980683029,-0.062346234623462345,1.0945332015168687,0.5886825329990366
a_2pl,IRT Discrimination (a),Lasso,B_ratings_mean_std,holdout,-0.22603621755541448,-0.1333335697732807,0.408335530794491,0.33426664984637217
a_2pl,IRT Discrimination (a),Lasso,B_ratings_mean_std,all_LOO,-0.18579160844988288,-0.23377137713771373,0.9698561645036512,0.42945859009860327
a_2pl,IRT Discrimination (a),ElasticNet,B_ratings_mean_std,holdout,-0.07396157564226791,-0.03458646616541353,0.4058262007292544,0.32663914523069526
a_2pl,IRT Discrimination (a),ElasticNet,B_ratings_mean_std,all_LOO,-0.16815583291307362,-0.26642664266426636,0.9943655682033208,0.4644370521359413
a_2pl,IRT Discrimination (a),RF,B_ratings_mean_std,holdout,0.35897859766891016,0.4601503759398496,0.3694472070255675,0.26262254463499046
a_2pl,IRT Discrimination (a),RF,B_ratings_mean_std,all_LOO,-0.10415080612384364,0.02023402340234023,0.9801952656233252,0.41410593330827666
a_2pl,IRT Discrimination (a),Ridge,C_ratings_plus_direct,holdout,0.08059121766877116,0.09924812030075188,0.5585699477036741,0.46999395687211215
a_2pl,IRT Discrimination (a),Ridge,C_ratings_plus_direct,all_LOO,0.010057288458871164,-0.06639063906390638,1.050537265531672,0.5691089891178461
a_2pl,IRT Discrimination (a),Lasso,C_ratings_plus_direct,holdout,-0.22603621755541448,-0.1333335697732807,0.408335530794491,0.33426664984637217
a_2pl,IRT Discrimination (a),Lasso,C_ratings_plus_direct,all_LOO,-0.18579160844988288,-0.23377137713771373,0.9698561645036512,0.42945859009860327
a_2pl,IRT Discrimination (a),ElasticNet,C_ratings_plus_direct,holdout,-0.12651661018156216,-0.23458646616541348,0.41076410771562016,0.33995098637902554
a_2pl,IRT Discrimination (a),ElasticNet,C_ratings_plus_direct,all_LOO,-0.14912917471584441,-0.29810981098109807,0.9892443980470639,0.46416027309076613
a_2pl,IRT Discrimination (a),RF,C_ratings_plus_direct,holdout,0.22428100792847572,0.41804511278195483,0.3690079979468558,0.26842398637391307
a_2pl,IRT Discrimination (a),RF,C_ratings_plus_direct,all_LOO,-0.04324204448283748,-0.10918691869186918,0.9727570641803278,0.4338382825235529
a_2pl,IRT Discrimination (a),Ridge,D_all_28,holdout,0.11757049731064483,0.15939849624060148,0.6917235529913789,0.5521662673788551
a_2pl,IRT Discrimination (a),Ridge,D_all_28,all_LOO,-0.012952689019893795,-0.06498649864986498,1.1075383046269454,0.6270807187241578
a_2pl,IRT Discrimination (a),Lasso,D_all_28,holdout,-0.22603621755541448,-0.1333335697732807,0.408335530794491,0.33426664984637217
a_2pl,IRT Discrimination (a),Lasso,D_all_28,all_LOO,-0.18579160844988288,-0.23377137713771373,0.9698561645036512,0.42945859009860327
a_2pl,IRT Discrimination (a),ElasticNet,D_all_28,holdout,-0.13217770744919763,-0.09924812030075188,0.4159298591550838,0.3422778237224019
a_2pl,IRT Discrimination (a),ElasticNet,D_all_28,all_LOO,-0.17312698946047778,-0.2793759375937594,0.9961675004871016,0.4664017557879875
a_2pl,IRT Discrimination (a),RF,D_all_28,holdout,0.3428885130203028,0.4812030075187969,0.361190072191145,0.2557562334577292
a_2pl,IRT Discrimination (a),RF,D_all_28,all_LOO,-0.07542441860142649,-0.006756675667566756,0.9778062340400471,0.4211148313773737
c_3pl_guess,Guessing (c),Direct_LLM,direct_prediction,holdout,-0.08652480641597055,0.027621031792790147,0.1489410067778515,0.11818500000000003
c_3pl_guess,Guessing (c),Direct_LLM,direct_prediction,all_LOO,0.07471939821545842,0.07291369597112274,0.187387869137786,0.14414100000000002
c_3pl_guess,Guessing (c),Ridge,A_ratings_mean,holdout,0.04282199365949302,-0.08986412411431789,0.15982598234406734,0.13344467321034775
c_3pl_guess,Guessing (c),Ridge,A_ratings_mean,all_LOO,0.17576402621517484,0.13333281238758768,0.17486282433035022,0.1440370511635051
c_3pl_guess,Guessing (c),Lasso,A_ratings_mean,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),Lasso,A_ratings_mean,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),ElasticNet,A_ratings_mean,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),ElasticNet,A_ratings_mean,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),RF,A_ratings_mean,holdout,-0.1415512999519991,0.006306254323811781,0.20073374853964626,0.16194579396934855
c_3pl_guess,Guessing (c),RF,A_ratings_mean,all_LOO,0.08422397245846965,0.10111164018598508,0.17612293474867624,0.1429194012532835
c_3pl_guess,Guessing (c),Ridge,B_ratings_mean_std,holdout,0.10356374100494506,0.04099065310477658,0.19414941517580464,0.16938801790331165
c_3pl_guess,Guessing (c),Ridge,B_ratings_mean_std,all_LOO,0.13055317697261953,0.0960474330063068,0.18655912519393986,0.15548945171904474
c_3pl_guess,Guessing (c),Lasso,B_ratings_mean_std,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),Lasso,B_ratings_mean_std,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),ElasticNet,B_ratings_mean_std,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),ElasticNet,B_ratings_mean_std,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),RF,B_ratings_mean_std,holdout,-0.24293029224906654,-0.1355844679619533,0.20034569673589483,0.1684282920223946
c_3pl_guess,Guessing (c),RF,B_ratings_mean_std,all_LOO,0.05508552032257671,0.0595383189591372,0.17638254414027937,0.14592216120068227
c_3pl_guess,Guessing (c),Ridge,C_ratings_plus_direct,holdout,0.05245387875947829,0.03783752594287069,0.17516940645287857,0.1474784595618504
c_3pl_guess,Guessing (c),Ridge,C_ratings_plus_direct,all_LOO,0.27860988846363693,0.2771390459496924,0.16876536983010865,0.136354657331308
c_3pl_guess,Guessing (c),Lasso,C_ratings_plus_direct,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),Lasso,C_ratings_plus_direct,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),ElasticNet,C_ratings_plus_direct,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),ElasticNet,C_ratings_plus_direct,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),RF,C_ratings_plus_direct,holdout,-0.0009220902381548227,0.14977354019052982,0.19026012508997292,0.15303752613249555
c_3pl_guess,Guessing (c),RF,C_ratings_plus_direct,all_LOO,0.06768962127117113,0.14784774196827138,0.17700557992430221,0.14516824390493632
c_3pl_guess,Guessing (c),Ridge,D_all_28,holdout,0.07982248806246177,0.07567505188574138,0.2125122208438599,0.18748464276047383
c_3pl_guess,Guessing (c),Ridge,D_all_28,all_LOO,0.18725290281113133,0.18451703775105124,0.18332236180370257,0.14938451705425038
c_3pl_guess,Guessing (c),Lasso,D_all_28,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),Lasso,D_all_28,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
c_3pl_guess,Guessing (c),ElasticNet,D_all_28,holdout,,,0.14701049020818208,0.124806
c_3pl_guess,Guessing (c),ElasticNet,D_all_28,all_LOO,-0.9999999999999999,-0.982626015420539,0.1728230669770064,0.14531577777777774
