config_id,temperature,temperature_coded,students_per_call,students_per_call_coded,prompt_style,prompt_style_coded,rubric_hint,rubric_hint_coded,model,model_coded,spearman_rho,spearman_p,pearson_r,pearson_p,n_items
0,0.3,-1,1,-1,classroom_batch,0,partial,0,gemini-3-flash,0,-0.5147120278578418,0.02022452352830893,-0.47971178360416994,0.03232090402859323,20
1,0.3,-1,20,1,classroom_batch,0,partial,0,gemini-3-flash,0,-0.6548405609606831,0.001728348731008924,-0.809817461928201,1.514760764495172e-05,20
2,1.5,1,1,-1,classroom_batch,0,partial,0,gemini-3-flash,0,-0.4229515092186453,0.06316781595841382,-0.4133487450132953,0.07005866348920078,20
3,1.5,1,20,1,classroom_batch,0,partial,0,gemini-3-flash,0,-0.4445314669494446,0.04955790388930627,-0.5920510654895541,0.00595578642886046,20
